>>> stockbot("MSFT", 4800, 15)
BUY, 198.30999755859375, 250, 11:00:35, 51.69000244140625
SELL, 198.33999633789062, 250.02999877929688, 11:01:09, 250.02999877929688
BUY, 198.25, 250.02999877929688, 11:01:42, 51.779998779296875
SELL, 198.3000030517578, 250.0800018310547, 11:01:59, 250.0800018310547
BUY, 198.1999969482422, 250.0800018310547, 11:02:17, 51.8800048828125
SELL, 198.28500366210938, 250.16500854492188, 11:02:33, 250.16500854492188
BUY, 198.2100067138672, 250.16500854492188, 11:02:51, 51.95500183105469
SELL, 198.22999572753906, 250.18499755859375, 11:03:24, 250.18499755859375
BUY, 198.24000549316406, 250.18499755859375, 11:03:41, 51.94499206542969
SELL, 198.27000427246094, 250.21499633789062, 11:03:57, 250.21499633789062
BUY, 198.23680114746094, 250.21499633789062, 11:04:14, 51.97819519042969
SELL, 198.2899932861328, 250.2681884765625, 11:04:31, 250.2681884765625
BUY, 198.2799072265625, 250.2681884765625, 11:04:48, 51.98828125
SELL, 198.3300018310547, 250.3182830810547, 11:05:05, 250.3182830810547
BUY, 198.3300018310547, 250.3182830810547, 11:05:54, 51.98828125
SELL, 198.39999389648438, 250.38827514648438, 11:06:11, 250.38827514648438
BUY, 198.42999267578125, 250.38827514648438, 11:07:00, 51.958282470703125
SELL, 198.4600067138672, 250.4182891845703, 11:07:17, 250.4182891845703
BUY, 198.42999267578125, 250.4182891845703, 11:07:34, 51.98829650878906
SELL, 198.25, 250.23829650878906, 11:08:57, 250.23829650878906
BUY, 198.24000549316406, 250.23829650878906, 11:09:14, 51.998291015625
SELL, 198.25999450683594, 250.25828552246094, 11:09:31, 250.25828552246094
BUY, 198.24009704589844, 250.25828552246094, 11:09:48, 52.0181884765625
SELL, 198.2100067138672, 250.2281951904297, 11:10:21, 250.2281951904297
BUY, 198.27000427246094, 250.2281951904297, 11:11:10, 51.95819091796875
SELL, 198.27499389648438, 250.23318481445312, 11:11:27, 250.23318481445312
BUY, 198.2180938720703, 250.23318481445312, 11:11:45, 52.01509094238281
SELL, 198.22999572753906, 250.24508666992188, 11:12:01, 250.24508666992188
BUY, 198.33999633789062, 250.24508666992188, 11:12:51, 51.90509033203125
SELL, 198.30999755859375, 250.215087890625, 11:13:41, 250.215087890625
BUY, 198.2899932861328, 250.215087890625, 11:14:30, 51.92509460449219
SELL, 198.22999572753906, 250.15509033203125, 11:15:20, 250.15509033203125
BUY, 198.22999572753906, 250.15509033203125, 11:15:54, 51.92509460449219
SELL, 198.1999969482422, 250.12509155273438, 11:16:27, 250.12509155273438
BUY, 198.17999267578125, 250.12509155273438, 11:17:00, 51.945098876953125
SELL, 198.22999572753906, 250.1750946044922, 11:17:17, 250.1750946044922
BUY, 198.1699981689453, 250.1750946044922, 11:17:34, 52.005096435546875
SELL, 198.22000122070312, 250.22509765625, 11:17:50, 250.22509765625
BUY, 198.22000122070312, 250.22509765625, 11:18:24, 52.005096435546875
SELL, 198.24000549316406, 250.24510192871094, 11:18:40, 250.24510192871094
BUY, 198.1873016357422, 250.24510192871094, 11:19:14, 52.05780029296875
SELL, 197.92300415039062, 249.98080444335938, 11:21:27, 249.98080444335938
BUY, 197.88670349121094, 249.98080444335938, 11:21:44, 52.09410095214844
SELL, 197.92990112304688, 250.0240020751953, 11:22:00, 250.0240020751953
BUY, 197.91009521484375, 250.0240020751953, 11:22:33, 52.11390686035156
SELL, 197.9600067138672, 250.07391357421875, 11:23:07, 250.07391357421875
BUY, 197.9499969482422, 250.07391357421875, 11:23:23, 52.12391662597656
SELL, 197.75999450683594, 249.8839111328125, 11:24:46, 249.8839111328125
BUY, 197.6999969482422, 249.8839111328125, 11:25:03, 52.18391418457031
SELL, 197.7899932861328, 249.97390747070312, 11:25:20, 249.97390747070312
BUY, 197.75999450683594, 249.97390747070312, 11:25:36, 52.21391296386719
SELL, 197.77000427246094, 249.98391723632812, 11:25:54, 249.98391723632812
BUY, 197.73500061035156, 249.98391723632812, 11:26:27, 52.24891662597656
SELL, 197.67999267578125, 249.9289093017578, 11:27:51, 249.9289093017578
BUY, 197.69000244140625, 249.9289093017578, 11:28:40, 52.23890686035156
SELL, 197.69869995117188, 249.93760681152344, 11:29:14, 249.93760681152344
BUY, 197.75, 249.93760681152344, 11:29:47, 52.18760681152344
SELL, 197.5, 249.68760681152344, 11:31:10, 249.68760681152344
BUY, 197.55999755859375, 249.68760681152344, 11:33:22, 52.12760925292969
SELL, 197.60000610351562, 249.7276153564453, 11:33:39, 249.7276153564453
BUY, 197.52999877929688, 249.7276153564453, 11:33:56, 52.19761657714844
SELL, 197.4199981689453, 249.61761474609375, 11:35:18, 249.61761474609375
BUY, 197.33380126953125, 249.61761474609375, 11:35:35, 52.2838134765625
SELL, 197.3699951171875, 249.65380859375, 11:35:51, 249.65380859375
BUY, 197.4600067138672, 249.65380859375, 11:36:25, 52.19380187988281
SELL, 197.5, 249.6938018798828, 11:37:15, 249.6938018798828
BUY, 197.47999572753906, 249.6938018798828, 11:38:04, 52.21380615234375
SELL, 197.5500030517578, 249.76380920410156, 11:38:21, 249.76380920410156
BUY, 197.53900146484375, 249.76380920410156, 11:38:38, 52.22480773925781
SELL, 197.54100036621094, 249.76580810546875, 11:39:11, 249.76580810546875
BUY, 197.47999572753906, 249.76580810546875, 11:40:01, 52.28581237792969
SELL, 197.5, 249.7858123779297, 11:40:52, 249.7858123779297
BUY, 197.52000427246094, 249.7858123779297, 11:41:26, 52.26580810546875
SELL, 197.5500030517578, 249.81581115722656, 11:41:42, 249.81581115722656
