>>> p1.simul_run(1200, 30)
Trading: [Ticker: JETS, Value: 4007.3391494750977, Amount: 0] for 1200 seconds
Trading: [Ticker: SPY, Value: 4003.478240966797, Amount: 2.0] for 1200 seconds
Trading: [Ticker: AAPL, Value: 4005.309844970703, Amount: 6.0] for 1200 seconds
Trading: [Ticker: FMCC, Value: 4005.0249952077866, Amount: 380.0] for 1200 seconds
JETS, SELL 45.0, 16.290000915527344, 4016.5178833007812, 12:42:36, 3283.467842102051, 45.0 shares
AAPL, BUY 2.0, 370.9800109863281, 3999.365692138672, 12:43:36, 2886.4256591796875, 3.0 shares
FMCC, SELL 615.0, 2.0350000858306885, 4023.4875742197037, 12:43:36, 4023.4875742197037, 0 shares
SPY, BUY 2.0, 322.75, 4003.7083435058594, 12:43:39, 3358.2083435058594, 2.0 shares
JETS, BUY 75.0, 16.280000686645508, 4016.0678730010986, 12:43:39, 2062.4677906036377, 120.0 shares
AAPL, BUY 2.0, 370.7200012207031, 3998.585662841797, 12:44:07, 2144.9856567382812, 5.0 shares
SPY, BUY 1.0, 322.6300048828125, 4003.4683532714844, 12:44:10, 3035.578338623047, 3.0 shares
FMCC, BUY 369.0, 2.0350000858306885, 4023.4875742197037, 12:44:38, 3272.5725425481796, 369.0 shares
AAPL, SELL 3.0, 371.0, 3999.9856567382812, 12:44:38, 3257.9856567382812, 2.0 shares
SPY, SELL 1.0, 322.760009765625, 4003.858367919922, 12:44:41, 3358.338348388672, 2.0 shares
AAPL, SELL 1.0, 371.2099914550781, 4000.4056396484375, 12:45:09, 3629.1956481933594, 1.0 shares
SPY, SELL 2.0, 322.8900146484375, 4004.118377685547, 12:45:12, 4004.118377685547, 0.0 shares
JETS, SELL 75.0, 16.290000915527344, 4017.267900466919, 12:45:13, 3284.2178592681885, 45.0 shares
AAPL, BUY 2.0, 371.1199951171875, 4000.315643310547, 12:45:40, 2886.9556579589844, 3.0 shares
SPY, BUY 3.0, 322.7900085449219, 4004.118377685547, 12:45:43, 3035.7483520507812, 3.0 shares
JETS, BUY 75.0, 16.281999588012695, 4016.9078407287598, 12:45:44, 2063.0678901672363, 120.0 shares
JETS, SELL 75.0, 16.299999237060547, 4019.067798614502, 12:46:15, 3285.5678329467773, 45.0 shares
FMCC, BUY 615.0, 2.0299999713897705, 4021.642531991005, 12:46:41, 2024.1225601434708, 984.0 shares
AAPL, BUY 2.0, 370.6600036621094, 3998.9356689453125, 12:46:42, 2145.6356506347656, 5.0 shares
SPY, BUY 2.0, 322.6199951171875, 4003.6083374023438, 12:46:45, 2390.5083618164062, 5.0 shares
AAPL, SELL 1.0, 370.7550048828125, 3999.410675048828, 12:47:13, 2516.390655517578, 4.0 shares
JETS, BUY 75.0, 16.290000915527344, 4018.617874145508, 12:47:17, 2063.8177642822266, 120.0 shares
FMCC, SELL 615.0, 2.0334999561309814, 4025.0865169763565, 12:47:42, 3274.7250331640244, 369.0 shares
AAPL, BUY 2.0, 370.6099853515625, 3998.830596923828, 12:47:44, 1775.1706848144531, 6.0 shares
FMCC, SELL 615.0, 2.0350000858306885, 4025.6400648355484, 12:48:13, 4025.6400648355484, 0 shares
SPY, BUY 2.0, 322.5400085449219, 4003.2084045410156, 12:48:18, 1745.4283447265625, 7.0 shares
JETS, SELL 45.0, 16.292499542236328, 4018.917709350586, 12:48:20, 2796.9802436828613, 75.0 shares
SPY, SELL 2.0, 322.6499938964844, 4003.978302001953, 12:48:49, 2390.7283325195312, 5.0 shares
JETS, SELL 15.0, 16.295000076293945, 4019.105249404907, 12:48:51, 3041.4052448272705, 60.0 shares
JETS, SELL 75.0, 16.309999465942383, 4020.0052127838135, 12:49:22, 4020.0052127838135, 0 shares
AAPL, BUY 2.0, 370.44000244140625, 3997.8106994628906, 12:49:47, 1034.2906799316406, 8.0 shares
SPY, BUY 3.0, 322.6000061035156, 4003.7283630371094, 12:49:50, 1422.9283142089844, 8.0 shares
JETS, BUY 75.0, 16.290000915527344, 4020.0052127838135, 12:49:54, 2798.2551441192627, 75.0 shares
AAPL, BUY 2.0, 370.19000244140625, 3995.8106994628906, 12:50:18, 293.9106750488281, 10.0 shares
SPY, BUY 4.0, 322.20001220703125, 4000.5284118652344, 12:50:22, 134.12826538085938, 12.0 shares
JETS, BUY 75.0, 16.280000686645508, 4019.255195617676, 12:50:25, 1577.2550926208496, 150.0 shares
FMCC, BUY 615.0, 2.0299999713897705, 4025.6400648355484, 12:50:47, 2777.1900824308395, 615.0 shares
AAPL, SELL 3.0, 370.67999267578125, 4000.7106018066406, 12:50:48, 1405.9506530761719, 7.0 shares
JETS, BUY 75.0, 16.260000228881836, 4016.255126953125, 12:50:56, 357.7550754547119, 225.0 shares
AAPL, BUY 1.0, 370.04998779296875, 3996.300567626953, 12:51:50, 1035.9006652832031, 8.0 shares
SPY, SELL 2.0, 321.8301086425781, 3996.089569091797, 12:51:55, 777.7884826660156, 10.0 shares
Ticker: JETS, Value: 4012.8802642822266, Amount: 225.0
Ticker: SPY, Value: 3996.089569091797, Amount: 10.0
Ticker: AAPL, Value: 3996.300567626953, Amount: 8.0
Ticker: FMCC, Value: 4025.6400648355484, Amount: 615.0
Net Worth: 16030.910465836525
